audienceType,name,categorySummary,summary
"Content Cluster","Assorted Topics (Software Integration, Scrabble, Word Games, Pbs)","Content Clusters > Assorted Topics (Software Integration, Scrabble, Word Games, Pbs)","People in this audience are interested in software integration, scrabble, word games, and PBS."
"Content Cluster","Assorted Topics (Television, Origami, Men's Health)","Content Clusters > Assorted Topics (Television, Origami, Men's Health)","People in this audience are interested in television, origami, and men's health."
"Content Cluster","Assorted Topics (The Outdoors, Sports, Furniture, Travel)","Content Clusters > Assorted Topics (The Outdoors, Sports, Furniture, Travel)","People in this audience are interested in the outdoors, sports, furniture, and travel."
"Content Cluster","Assorted Topics (This Audience Are Interested In Abbreviations, Domain Analysis, Driving Routes, Email Marketing)","Content Clusters > Assorted Topics (This Audience Are Interested In Abbreviations, Domain Analysis, Driving Routes, Email Marketing)","People in this audience are interested in abbreviations, domain analysis, driving routes, and email marketing."
"Content Cluster","Assorted Topics (Toys, T-Shirts, Volvos)","Content Clusters > Assorted Topics (Toys, T-Shirts, Volvos)","People in this audience are interested in toys, t-shirts, and Volvos."
"Content Cluster","Assorted Topics (Tv Networks, Birthday Cards, Diets, Recipes, Humor, Gambling)","Content Clusters > Assorted Topics (Tv Networks, Birthday Cards, Diets, Recipes, Humor, Gambling)","People in this audience are interested in TV networks, birthday cards, diets, recipes, humor, and gambling."
"Content Cluster","Assorted Topics (Vacation, Travel, Automotive Entertainment, Diet)","Content Clusters > Assorted Topics (Vacation, Travel, Automotive Entertainment, Diet)","People in this audience are interested in vacation, travel, automotive entertainment, and diet."
"Content Cluster","Assorted Topics (Viral Media, Paid Traffic)","Content Clusters > Assorted Topics (Viral Media, Paid Traffic)","People in this audience are interested in a broad group of people visiting viral media sites."
"Content Cluster","Assorted Topics (Viral Media, Paid Traffic)","Content Clusters > Assorted Topics (Viral Media, Paid Traffic)","People in this audience are interested in Viral Media, Paid Traffic"
"Content Cluster","Assorted Topics (Viral Media, Paid Traffic)","Content Clusters > Assorted Topics (Viral Media, Paid Traffic)","People in this audience are interested in Viral Media, Paid Traffic"
"Content Cluster","Assorted Topics (Weather, Movie Studios, People Search, Measurement Conversion)","Content Clusters > Assorted Topics (Weather, Movie Studios, People Search, Measurement Conversion)","People in this audience are interested in weather, movie studios, people search, and measurement conversion."
"Content Cluster","Assorted Topics (Web Hosting, Fiction Storytelling, Research)","Content Clusters > Assorted Topics (Web Hosting, Fiction Storytelling, Research)","People in this audience are interested in web hosting, fiction storytelling, and research."
"Crafted Audience","Asthma Sufferers","Consumer > Healthcare > Pharma > Asthma Sufferers","People researching asthma trends and treatment options."
"Crafted Audience","Astrology Enthusiasts","Lifestyle > Activities > Astrology Enthusiasts","People reading daily horoscopes and astrology content."
"Crafted Audience","Astronomy Enthusiasts","Lifestyle > Activities > Astronomy Enthusiasts","People researching news and trends in astronomy."
"Crafted Audience","At-Home Gym Intenders","Consumer > Retail > Home > At-Home Gym Intenders","Consumers purchasing products and services for exercising at home."
"Crafted Audience","Athleisure Shoppers","Consumer > Retail > Apparel > Athleisure Shoppers","Customers shopping for clothes and accessories from athleisure and fitness brands."
"Location Audience","Athleta","Points of interest > Retail > Sporting > Athleta","People in this audience have recently visited an Athleta location."
"Crafted Audience","Atlanta Braves Fans","Consumer > Media > Sports Fans > Atlanta Braves Fans","Fans of Atlanta Braves"
"Crafted Audience","Atlanta Falcons Fans","Consumer > Media > Sports Fans > Atlanta Falcons Fans","People reading news about the Atlanta Falcons and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Atlanta Hawks Fans","Consumer > Media > Sports Fans > Atlanta Hawks Fans","People reading news about the Atlanta Hawks and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Atlanta Trip Planners","Consumer > Travel > Atlanta Trip Planners","People researching attractions and accommodations in Atlanta. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Crafted Audience","Atlanta United Fans","Consumer > Media > Sports Fans > Atlanta United Fans","People reading news about the Atlanta United soccer team and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Auburn Tigers Fans","Consumer > Media > Sports Fans > Auburn Tigers Fans","Fans of Auburn Tigers"
"Content Cluster","Auctions & Repossessions","Content Clusters > Auctions & Repossessions","People in this audience are interested in auctions, government repossessions, liquidators, and equipment sales."
"Location Audience","Audi","Points of interest > Auto > Manufacturers > Audi","People in this audience have recently visited an Audi location."
"Crafted Audience","Audi Vehicle Shoppers","Consumer > Auto > Audi Vehicle Shoppers","People researching and comparing Audi vehicles. These consumers are more likely to spend money on a new or used car."
"Crafted Audience","Audio Book Listeners","Consumer > Media > Audio Book Listeners","People visiting sites to download audio books and audio content."
"Content Cluster","Audio Clips & Sound Effects","Content Clusters > Audio Clips & Sound Effects","People in this audience are interested in audio clips, sound effects, and sound bites."
"Crafted Audience","Audio Equipment Researchers","Consumer > Electronics > Audio Equipment Researchers","Consumers reading reviews of high end stereo equipment."
"Location Audience","Auntie Anne's","Points of interest > Restaurants > QSR > Auntie Anne's","People in this audience have recently visited an Auntie Anne's location."
"Content Cluster","Austin Cluster","Content Clusters > Austin Cluster","People in this audience are interested in variety of topics related to Austin, including universities and the arts."
"Crafted Audience","Austin Trip Planners","Consumer > Travel > Austin Trip Planners","People researching attractions and accommodations in Austin. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Content Cluster","Australia & New Zealand Media","Content Clusters > Australia & New Zealand Media","People in this audience are interested in news related to Australia and New Zealand."
"Crafted Audience","Australia Trip Planners","Consumer > Travel > Australia Trip Planners","People researching attractions and accommodations in Australia. These consumers are more likely to spend money on travel and local attractions."
"Crafted Audience","Authors","Lifestyle > Occupation > Authors","Professionals reading industry news and researching products and services for professional writing."
"Crafted Audience","Auto Body Shoppers","Consumer > Auto > Auto Body Shoppers","Consumers researching products and services for auto body work."
"Content Cluster","Auto Body Upkeep & Repair Researchers","Content Clusters > Auto Body Upkeep & Repair Researchers","People in this audience are looking for car parts, mechanical tools, and information about auto body work."
"Content Cluster","Auto Enthusiast Information Researchers","Content Clusters > Auto Enthusiast Information Researchers","People in this audience are interested in auto parts and repairs."
